"n","distribution","i","fdr","tpr","fpr","shd","pred_size","F1_score","fdr_und","tpr_und","fpr_und","shd_und","pred_size.1","F1_score_und"
1000,"gauss",0,0.548387096774194,0.7,0.1,17,31,0.549019607843137,0.354838709677419,1,0.0647058823529412,11,31,0.784313725490196
1000,"gauss",1,0.272727272727273,0.8,0.0352941176470588,6,22,0.761904761904762,0.0909090909090909,1,0.0117647058823529,2,22,0.952380952380952
1000,"gauss",2,0.142857142857143,0.9,0.0176470588235294,3,21,0.878048780487805,0.0476190476190476,1,0.00588235294117647,1,21,0.975609756097561
1000,"gauss",3,0.67741935483871,0.5,0.123529411764706,21,31,0.32258064516129,0.354838709677419,1,0.0647058823529412,11,31,0.784313725490196
1000,"gauss",4,0.181818181818182,0.9,0.0235294117647059,4,22,0.857142857142857,0.0909090909090909,1,0.0117647058823529,2,22,0.952380952380952
1000,"gauss",5,0.260869565217391,0.85,0.0352941176470588,6,23,0.790697674418605,0.130434782608696,1,0.0176470588235294,3,23,0.930232558139535
1000,"gauss",6,0.260869565217391,0.85,0.0352941176470588,6,23,0.790697674418605,0.130434782608696,1,0.0176470588235294,3,23,0.930232558139535
1000,"gauss",7,0.304347826086957,0.8,0.0411764705882353,7,23,0.744186046511628,0.130434782608696,1,0.0176470588235294,3,23,0.930232558139535
1000,"gauss",8,0.285714285714286,0.75,0.0352941176470588,6,21,0.731707317073171,0.0476190476190476,1,0.00588235294117647,1,21,0.975609756097561
1000,"gauss",9,0.25,0.9,0.0352941176470588,6,24,0.818181818181818,0.166666666666667,1,0.0235294117647059,4,24,0.909090909090909
1000,"exp",0,0.227272727272727,0.85,0.0294117647058824,5,22,0.80952380952381,0.0909090909090909,1,0.0117647058823529,2,22,0.952380952380952
1000,"exp",1,0.304347826086957,0.8,0.0411764705882353,7,23,0.744186046511628,0.130434782608696,1,0.0176470588235294,3,23,0.930232558139535
1000,"exp",2,0.32,0.85,0.0470588235294118,8,25,0.755555555555556,0.2,1,0.0294117647058824,5,25,0.888888888888889
1000,"exp",3,0.592592592592593,0.55,0.0941176470588235,17,27,0.448148148148148,0.296296296296296,0.95,0.0470588235294118,9,27,0.808510638297872
1000,"exp",4,0.636363636363636,0.6,0.123529411764706,21,33,0.436363636363636,0.393939393939394,1,0.0764705882352941,13,33,0.754716981132076
1000,"exp",5,0.217391304347826,0.9,0.0294117647058824,5,23,0.837209302325581,0.130434782608696,1,0.0176470588235294,3,23,0.930232558139535
1000,"exp",6,0.142857142857143,0.9,0.0176470588235294,3,21,0.878048780487805,0.0476190476190476,1,0.00588235294117647,1,21,0.975609756097561
1000,"exp",7,0.551724137931034,0.65,0.0941176470588235,17,29,0.530612244897959,0.344827586206897,0.95,0.0588235294117647,11,29,0.775510204081633
1000,"exp",8,0.333333333333333,0.7,0.0411764705882353,7,21,0.682926829268293,0.0476190476190476,1,0.00588235294117647,1,21,0.975609756097561
1000,"exp",9,0.535714285714286,0.65,0.0882352941176471,15,28,0.541666666666667,0.285714285714286,1,0.0470588235294118,8,28,0.833333333333333
1000,"gumbel",0,0.318181818181818,0.75,0.0411764705882353,7,22,0.714285714285714,0.0909090909090909,1,0.0117647058823529,2,22,0.952380952380952
1000,"gumbel",1,0.291666666666667,0.85,0.0411764705882353,7,24,0.772727272727273,0.166666666666667,1,0.0235294117647059,4,24,0.909090909090909
1000,"gumbel",2,0.363636363636364,0.7,0.0470588235294118,8,22,0.666666666666667,0.0909090909090909,1,0.0117647058823529,2,22,0.952380952380952
1000,"gumbel",3,0.586206896551724,0.6,0.1,17,29,0.489795918367347,0.310344827586207,1,0.0529411764705882,9,29,0.816326530612245
1000,"gumbel",4,0.391304347826087,0.7,0.0529411764705882,9,23,0.651162790697674,0.130434782608696,1,0.0176470588235294,3,23,0.930232558139535
1000,"gumbel",5,0.347826086956522,0.75,0.0470588235294118,8,23,0.697674418604651,0.130434782608696,1,0.0176470588235294,3,23,0.930232558139535
1000,"gumbel",6,0.260869565217391,0.85,0.0352941176470588,6,23,0.790697674418605,0.130434782608696,1,0.0176470588235294,3,23,0.930232558139535
1000,"gumbel",7,0.71875,0.45,0.135294117647059,23,32,0.253125,0.375,1,0.0705882352941176,12,32,0.769230769230769
1000,"gumbel",8,0.238095238095238,0.8,0.0294117647058824,5,21,0.780487804878049,0.0476190476190476,1,0.00588235294117647,1,21,0.975609756097561
1000,"gumbel",9,0.260869565217391,0.85,0.0352941176470588,6,23,0.790697674418605,0.130434782608696,1,0.0176470588235294,3,23,0.930232558139535
