"n","graphmodel","i","fdr","tpr","fpr","shd","pred_size","F1_score","fdr_und","tpr_und","fpr_und","shd_und","pred_size.1","F1_score_und"
1000,"ER",0,0.238095238095238,0.8,0.0294117647058824,5,21,0.780487804878049,0.0476190476190476,1,0.00588235294117647,1,21,0.975609756097561
1000,"ER",1,0.333333333333333,0.8,0.0470588235294118,8,24,0.727272727272727,0.166666666666667,1,0.0235294117647059,4,24,0.909090909090909
1000,"ER",2,0.173913043478261,0.95,0.0235294117647059,4,23,0.883720930232558,0.130434782608696,1,0.0176470588235294,3,23,0.930232558139535
1000,"ER",3,0.44,0.7,0.0647058823529412,11,25,0.622222222222222,0.2,1,0.0294117647058824,5,25,0.888888888888889
1000,"ER",4,0.19047619047619,0.85,0.0235294117647059,4,21,0.829268292682927,0.0476190476190476,1,0.00588235294117647,1,21,0.975609756097561
1000,"ER",5,0.181818181818182,0.9,0.0235294117647059,4,22,0.857142857142857,0.0909090909090909,1,0.0117647058823529,2,22,0.952380952380952
1000,"ER",6,0.260869565217391,0.85,0.0352941176470588,6,23,0.790697674418605,0.130434782608696,1,0.0176470588235294,3,23,0.930232558139535
1000,"ER",7,0.65625,0.55,0.123529411764706,21,32,0.378125,0.375,1,0.0705882352941176,12,32,0.769230769230769
1000,"ER",8,0.272727272727273,0.8,0.0352941176470588,6,22,0.761904761904762,0.0909090909090909,1,0.0117647058823529,2,22,0.952380952380952
1000,"ER",9,0.333333333333333,0.8,0.0470588235294118,8,24,0.727272727272727,0.166666666666667,1,0.0235294117647059,4,24,0.909090909090909
1000,"SF",0,0.363636363636364,0.736842105263158,0.0467836257309941,8,22,0.682926829268293,0.136363636363636,1,0.0175438596491228,3,22,0.926829268292683
1000,"SF",1,0.272727272727273,0.842105263157895,0.0350877192982456,6,22,0.780487804878049,0.136363636363636,1,0.0175438596491228,3,22,0.926829268292683
1000,"SF",2,0.409090909090909,0.684210526315789,0.0526315789473684,9,22,0.634146341463415,0.136363636363636,1,0.0175438596491228,3,22,0.926829268292683
1000,"SF",3,0.19047619047619,0.894736842105263,0.0233918128654971,4,21,0.85,0.0952380952380952,1,0.0116959064327485,2,21,0.95
1000,"SF",4,0.15,0.894736842105263,0.0175438596491228,3,20,0.871794871794872,0.05,1,0.00584795321637427,1,20,0.974358974358974
1000,"SF",5,0.678571428571429,0.473684210526316,0.111111111111111,19,28,0.304511278195489,0.321428571428571,1,0.0526315789473684,9,28,0.808510638297872
1000,"SF",6,0.517241379310345,0.736842105263158,0.087719298245614,16,29,0.583333333333333,0.379310344827586,0.947368421052632,0.064327485380117,12,29,0.75
1000,"SF",7,0.142857142857143,0.947368421052632,0.0175438596491228,3,21,0.9,0.0952380952380952,1,0.0116959064327485,2,21,0.95
1000,"SF",8,0.2,0.842105263157895,0.0233918128654971,4,20,0.82051282051282,0.05,1,0.00584795321637427,1,20,0.974358974358974
1000,"SF",9,0.391304347826087,0.736842105263158,0.0526315789473684,9,23,0.666666666666667,0.173913043478261,1,0.0233918128654971,4,23,0.904761904761905
