"n","graphmodel","i","fdr","tpr","fpr","shd","pred_size","F1_score","fdr_und","tpr_und","fpr_und","shd_und","pred_size.1","F1_score_und"
1000,"ER",0,0.35,0.65,0.0411764705882353,7,20,0.65,0,1,0,0,20,1
1000,"ER",1,0.3,0.7,0.0352941176470588,6,20,0.7,0,1,0,0,20,1
1000,"ER",2,0.45,0.55,0.0529411764705882,9,20,0.55,0,1,0,0,20,1
1000,"ER",3,0.3,0.7,0.0352941176470588,6,20,0.7,0,1,0,0,20,1
1000,"ER",4,0.315789473684211,0.65,0.0352941176470588,7,19,0.666666666666667,0,0.95,0,1,19,0.974358974358974
1000,"ER",5,0.3,0.7,0.0352941176470588,7,20,0.7,0.05,0.95,0.00588235294117647,2,20,0.95
1000,"ER",6,0.3,0.7,0.0352941176470588,6,20,0.7,0,1,0,0,20,1
1000,"ER",7,0.3,0.7,0.0352941176470588,6,20,0.7,0,1,0,0,20,1
1000,"ER",8,0.166666666666667,0.75,0.0176470588235294,5,18,0.789473684210526,0,0.9,0,2,18,0.947368421052632
1000,"ER",9,0.238095238095238,0.8,0.0294117647058824,5,21,0.780487804878049,0.0476190476190476,1,0.00588235294117647,1,21,0.975609756097561
1000,"SF",0,0.157894736842105,0.842105263157895,0.0175438596491228,3,19,0.842105263157895,0,1,0,0,19,1
1000,"SF",1,0.25,0.789473684210526,0.0292397660818713,5,20,0.769230769230769,0.05,1,0.00584795321637427,1,20,0.974358974358974
1000,"SF",2,0.15,0.894736842105263,0.0175438596491228,4,20,0.871794871794872,0.1,0.947368421052632,0.0116959064327485,3,20,0.923076923076923
1000,"SF",3,0.4,0.631578947368421,0.0467836257309941,10,20,0.615384615384615,0.15,0.894736842105263,0.0175438596491228,5,20,0.871794871794872
1000,"SF",4,0.25,0.789473684210526,0.0292397660818713,5,20,0.769230769230769,0.05,1,0.00584795321637427,1,20,0.974358974358974
1000,"SF",5,0.263157894736842,0.736842105263158,0.0292397660818713,5,19,0.736842105263158,0,1,0,0,19,1
1000,"SF",6,0.272727272727273,0.842105263157895,0.0350877192982456,6,22,0.780487804878049,0.136363636363636,1,0.0175438596491228,3,22,0.926829268292683
1000,"SF",7,0.45,0.578947368421053,0.0526315789473684,10,20,0.564102564102564,0.1,0.947368421052632,0.0116959064327485,3,20,0.923076923076923
1000,"SF",8,0.176470588235294,0.736842105263158,0.0175438596491228,5,17,0.777777777777778,0,0.894736842105263,0,2,17,0.944444444444444
1000,"SF",9,0.157894736842105,0.842105263157895,0.0175438596491228,3,19,0.842105263157895,0,1,0,0,19,1
