"n","d","i","fdr","tpr","fpr","shd","pred_size","F1_score","fdr_und","tpr_und","fpr_und","shd_und","pred_size.1","F1_score_und"
1000,5,0,0,1,0,0,5,1,0,1,0,0,5,1
1000,5,1,0,1,0,0,5,1,0,1,0,0,5,1
1000,5,2,0.4,0.6,0.4,2,5,0.6,0,1,0,0,5,1
1000,5,3,0,1,0,0,5,1,0,1,0,0,5,1
1000,5,4,0,1,0,0,5,1,0,1,0,0,5,1
1000,5,5,0,1,0,0,5,1,0,1,0,0,5,1
1000,5,6,0.4,0.6,0.4,2,5,0.6,0,1,0,0,5,1
1000,5,7,0,1,0,0,5,1,0,1,0,0,5,1
1000,5,8,0,1,0,0,5,1,0,1,0,0,5,1
1000,5,9,0,1,0,0,5,1,0,1,0,0,5,1
1000,10,0,0.666666666666667,0.3,0.171428571428571,9,9,0.2,0.222222222222222,0.7,0.0571428571428571,5,9,0.736842105263158
1000,10,1,0.444444444444444,0.5,0.114285714285714,6,9,0.526315789473684,0.111111111111111,0.8,0.0285714285714286,3,9,0.842105263157895
1000,10,2,0.666666666666667,0.3,0.171428571428571,9,9,0.2,0.222222222222222,0.7,0.0571428571428571,5,9,0.736842105263158
1000,10,3,0.545454545454545,0.5,0.171428571428571,7,11,0.454545454545455,0.181818181818182,0.9,0.0571428571428571,3,11,0.857142857142857
1000,10,4,0.444444444444444,0.5,0.114285714285714,5,9,0.526315789473684,0,0.9,0,1,9,0.947368421052632
1000,10,5,0.111111111111111,0.8,0.0285714285714286,3,9,0.842105263157895,0.111111111111111,0.8,0.0285714285714286,3,9,0.842105263157895
1000,10,6,0.444444444444444,0.5,0.114285714285714,6,9,0.526315789473684,0.111111111111111,0.8,0.0285714285714286,3,9,0.842105263157895
1000,10,7,0.5,0.5,0.142857142857143,7,10,0.5,0.2,0.8,0.0571428571428571,4,10,0.8
1000,10,8,0.444444444444444,0.5,0.114285714285714,6,9,0.526315789473684,0.111111111111111,0.8,0.0285714285714286,3,9,0.842105263157895
1000,10,9,0.666666666666667,0.3,0.171428571428571,9,9,0.2,0.222222222222222,0.7,0.0571428571428571,5,9,0.736842105263158
1000,20,0,0.368421052631579,0.6,0.0411764705882353,9,19,0.615384615384615,0.0526315789473684,0.9,0.00588235294117647,3,19,0.923076923076923
1000,20,1,0.333333333333333,0.6,0.0352941176470588,8,18,0.631578947368421,0,0.9,0,2,18,0.947368421052632
1000,20,2,0.315789473684211,0.65,0.0352941176470588,7,19,0.666666666666667,0,0.95,0,1,19,0.974358974358974
1000,20,3,0.368421052631579,0.6,0.0411764705882353,9,19,0.615384615384615,0.0526315789473684,0.9,0.00588235294117647,3,19,0.923076923076923
1000,20,4,0.35,0.65,0.0411764705882353,8,20,0.65,0.05,0.95,0.00588235294117647,2,20,0.95
1000,20,5,0.35,0.65,0.0411764705882353,8,20,0.65,0.05,0.95,0.00588235294117647,2,20,0.95
1000,20,6,0.315789473684211,0.65,0.0352941176470588,7,19,0.666666666666667,0,0.95,0,1,19,0.974358974358974
1000,20,7,0.333333333333333,0.6,0.0352941176470588,8,18,0.631578947368421,0,0.9,0,2,18,0.947368421052632
1000,20,8,0.4,0.6,0.0470588235294118,9,20,0.6,0.05,0.95,0.00588235294117647,2,20,0.95
1000,20,9,0.35,0.65,0.0411764705882353,8,20,0.65,0.05,0.95,0.00588235294117647,2,20,0.95
1000,40,0,0.282051282051282,0.7,0.0148648648648649,14,39,0.708860759493671,0.0512820512820513,0.925,0.0027027027027027,5,39,0.936708860759494
1000,40,1,0.289473684210526,0.675,0.0148648648648649,14,38,0.692307692307692,0.0263157894736842,0.925,0.00135135135135135,4,38,0.948717948717949
1000,40,2,0.263157894736842,0.7,0.0135135135135135,13,38,0.717948717948718,0.0263157894736842,0.925,0.00135135135135135,4,38,0.948717948717949
1000,40,3,0.297297297297297,0.65,0.0148648648648649,15,37,0.675324675324675,0.027027027027027,0.9,0.00135135135135135,5,37,0.935064935064935
1000,40,4,0.357142857142857,0.675,0.0202702702702703,18,42,0.658536585365854,0.119047619047619,0.925,0.00675675675675676,8,42,0.902439024390244
1000,40,5,0.342105263157895,0.625,0.0175675675675676,17,38,0.641025641025641,0.0526315789473684,0.9,0.0027027027027027,6,38,0.923076923076923
1000,40,6,0.243243243243243,0.7,0.0121621621621622,13,37,0.727272727272727,0.027027027027027,0.9,0.00135135135135135,5,37,0.935064935064935
1000,40,7,0.282051282051282,0.7,0.0148648648648649,14,39,0.708860759493671,0.0512820512820513,0.925,0.0027027027027027,5,39,0.936708860759494
1000,40,8,0.305555555555556,0.625,0.0148648648648649,15,36,0.657894736842105,0,0.9,0,4,36,0.947368421052632
1000,40,9,0.3,0.7,0.0162162162162162,15,40,0.7,0.075,0.925,0.00405405405405405,6,40,0.925
