"n","d","i","fdr","tpr","fpr","shd","pred_size","F1_score","fdr_und","tpr_und","fpr_und","shd_und","pred_size.1","F1_score_und"
1000,5,0,0.2,0.8,0.2,1,5,0.8,0,1,0,0,5,1
1000,5,1,0.2,0.8,0.2,1,5,0.8,0,1,0,0,5,1
1000,5,2,0.4,0.6,0.4,2,5,0.6,0,1,0,0,5,1
1000,5,3,0.2,0.8,0.2,1,5,0.8,0,1,0,0,5,1
1000,5,4,0.6,0.4,0.6,3,5,0.32,0,1,0,0,5,1
1000,5,5,0.2,0.8,0.2,1,5,0.8,0,1,0,0,5,1
1000,5,6,0.2,0.8,0.2,1,5,0.8,0,1,0,0,5,1
1000,5,7,0.4,0.6,0.4,2,5,0.6,0,1,0,0,5,1
1000,5,8,0,1,0,0,5,1,0,1,0,0,5,1
1000,5,9,0.2,0.8,0.2,1,5,0.8,0,1,0,0,5,1
1000,10,0,0.625,0.3,0.142857142857143,8,8,0.225,0.125,0.7,0.0285714285714286,4,8,0.777777777777778
1000,10,1,0.5,0.4,0.114285714285714,7,8,0.4,0.125,0.7,0.0285714285714286,4,8,0.777777777777778
1000,10,2,0.375,0.5,0.0857142857142857,6,8,0.555555555555556,0.125,0.7,0.0285714285714286,4,8,0.777777777777778
1000,10,3,0.545454545454545,0.5,0.171428571428571,7,11,0.454545454545455,0.181818181818182,0.9,0.0571428571428571,3,11,0.857142857142857
1000,10,4,0.3,0.7,0.0857142857142857,3,10,0.7,0,1,0,0,10,1
1000,10,5,0.5,0.5,0.142857142857143,7,10,0.5,0.2,0.8,0.0571428571428571,4,10,0.8
1000,10,6,0.444444444444444,0.5,0.114285714285714,6,9,0.526315789473684,0.111111111111111,0.8,0.0285714285714286,3,9,0.842105263157895
1000,10,7,0.6,0.4,0.171428571428571,8,10,0.32,0.2,0.8,0.0571428571428571,4,10,0.8
1000,10,8,0.25,0.6,0.0571428571428571,5,8,0.666666666666667,0.125,0.7,0.0285714285714286,4,8,0.777777777777778
1000,10,9,0.625,0.3,0.142857142857143,8,8,0.225,0.125,0.7,0.0285714285714286,4,8,0.777777777777778
1000,20,0,0.315789473684211,0.65,0.0352941176470588,7,19,0.666666666666667,0,0.95,0,1,19,0.974358974358974
1000,20,1,0.25,0.75,0.0294117647058824,5,20,0.75,0,1,0,0,20,1
1000,20,2,0.3,0.7,0.0352941176470588,6,20,0.7,0,1,0,0,20,1
1000,20,3,0.25,0.75,0.0294117647058824,5,20,0.75,0,1,0,0,20,1
1000,20,4,0.35,0.65,0.0411764705882353,7,20,0.65,0,1,0,0,20,1
1000,20,5,0.25,0.75,0.0294117647058824,5,20,0.75,0,1,0,0,20,1
1000,20,6,0.45,0.55,0.0529411764705882,9,20,0.55,0,1,0,0,20,1
1000,20,7,0.315789473684211,0.65,0.0352941176470588,7,19,0.666666666666667,0,0.95,0,1,19,0.974358974358974
1000,20,8,0.363636363636364,0.7,0.0470588235294118,8,22,0.666666666666667,0.0909090909090909,1,0.0117647058823529,2,22,0.952380952380952
1000,20,9,0.238095238095238,0.8,0.0294117647058824,5,21,0.780487804878049,0.0476190476190476,1,0.00588235294117647,1,21,0.975609756097561
1000,40,0,0.15,0.85,0.00810810810810811,6,40,0.85,0,1,0,0,40,1
1000,40,1,0.121951219512195,0.9,0.00675675675675676,5,41,0.888888888888889,0.024390243902439,1,0.00135135135135135,1,41,0.987654320987654
1000,40,2,0.325,0.675,0.0175675675675676,13,40,0.675,0,1,0,0,40,1
1000,40,3,0.205128205128205,0.775,0.0108108108108108,10,39,0.784810126582278,0.0256410256410256,0.95,0.00135135135135135,3,39,0.962025316455696
1000,40,4,0.175,0.825,0.00945945945945946,7,40,0.825,0,1,0,0,40,1
1000,40,5,0.121951219512195,0.9,0.00675675675675676,5,41,0.888888888888889,0.024390243902439,1,0.00135135135135135,1,41,0.987654320987654
1000,40,6,0.0731707317073171,0.95,0.00405405405405405,3,41,0.938271604938272,0.024390243902439,1,0.00135135135135135,1,41,0.987654320987654
1000,40,7,0.146341463414634,0.875,0.00810810810810811,6,41,0.864197530864198,0.024390243902439,1,0.00135135135135135,1,41,0.987654320987654
1000,40,8,0.25,0.75,0.0135135135135135,10,40,0.75,0,1,0,0,40,1
1000,40,9,0.125,0.875,0.00675675675675676,5,40,0.875,0,1,0,0,40,1
