"n","d","i","fdr","tpr","fpr","shd","pred_size","F1_score","fdr_und","tpr_und","fpr_und","shd_und","pred_size.1","F1_score_und"
100,20,0,0.333333333333333,0.5,0.0294117647058824,11,15,0.571428571428572,0.0666666666666667,0.7,0.00588235294117647,7,15,0.8
100,20,1,0.466666666666667,0.4,0.0411764705882353,14,15,0.426666666666667,0.133333333333333,0.65,0.0117647058823529,9,15,0.742857142857143
100,20,2,0.461538461538462,0.35,0.0352941176470588,14,13,0.376923076923077,0.0769230769230769,0.6,0.00588235294117647,9,13,0.727272727272727
100,20,3,0.4375,0.45,0.0411764705882353,12,16,0.5,0.0625,0.75,0.00588235294117647,6,16,0.833333333333333
100,20,4,0.352941176470588,0.55,0.0352941176470588,10,17,0.594594594594595,0.0588235294117647,0.8,0.00588235294117647,5,17,0.864864864864865
100,20,5,0.333333333333333,0.5,0.0294117647058824,10,15,0.571428571428572,0,0.75,0,5,15,0.857142857142857
100,20,6,0.428571428571429,0.4,0.0352941176470588,12,14,0.457142857142857,0,0.7,0,6,14,0.823529411764706
100,20,7,0.352941176470588,0.55,0.0352941176470588,10,17,0.594594594594595,0.0588235294117647,0.8,0.00588235294117647,5,17,0.864864864864865
100,20,8,0.444444444444444,0.5,0.0470588235294118,14,18,0.526315789473684,0.222222222222222,0.7,0.0235294117647059,10,18,0.736842105263158
100,20,9,0.5,0.4,0.0470588235294118,14,16,0.4,0.125,0.7,0.0117647058823529,8,16,0.777777777777778
500,20,0,0.294117647058824,0.6,0.0294117647058824,8,17,0.648648648648649,0,0.85,0,3,17,0.918918918918919
500,20,1,0.294117647058824,0.6,0.0294117647058824,8,17,0.648648648648649,0,0.85,0,3,17,0.918918918918919
500,20,2,0.368421052631579,0.6,0.0411764705882353,9,19,0.615384615384615,0.0526315789473684,0.9,0.00588235294117647,3,19,0.923076923076923
500,20,3,0.35,0.65,0.0411764705882353,8,20,0.65,0.05,0.95,0.00588235294117647,2,20,0.95
500,20,4,0.333333333333333,0.6,0.0352941176470588,8,18,0.631578947368421,0,0.9,0,2,18,0.947368421052632
500,20,5,0.333333333333333,0.6,0.0352941176470588,9,18,0.631578947368421,0.0555555555555556,0.85,0.00588235294117647,4,18,0.894736842105263
500,20,6,0.333333333333333,0.6,0.0352941176470588,8,18,0.631578947368421,0,0.9,0,2,18,0.947368421052632
500,20,7,0.333333333333333,0.6,0.0352941176470588,9,18,0.631578947368421,0.0555555555555556,0.85,0.00588235294117647,4,18,0.894736842105263
500,20,8,0.333333333333333,0.6,0.0352941176470588,8,18,0.631578947368421,0,0.9,0,2,18,0.947368421052632
500,20,9,0.333333333333333,0.6,0.0352941176470588,8,18,0.631578947368421,0,0.9,0,2,18,0.947368421052632
1000,20,0,0.368421052631579,0.6,0.0411764705882353,9,19,0.615384615384615,0.0526315789473684,0.9,0.00588235294117647,3,19,0.923076923076923
1000,20,1,0.333333333333333,0.6,0.0352941176470588,8,18,0.631578947368421,0,0.9,0,2,18,0.947368421052632
1000,20,2,0.315789473684211,0.65,0.0352941176470588,7,19,0.666666666666667,0,0.95,0,1,19,0.974358974358974
1000,20,3,0.368421052631579,0.6,0.0411764705882353,9,19,0.615384615384615,0.0526315789473684,0.9,0.00588235294117647,3,19,0.923076923076923
1000,20,4,0.35,0.65,0.0411764705882353,8,20,0.65,0.05,0.95,0.00588235294117647,2,20,0.95
1000,20,5,0.35,0.65,0.0411764705882353,8,20,0.65,0.05,0.95,0.00588235294117647,2,20,0.95
1000,20,6,0.315789473684211,0.65,0.0352941176470588,7,19,0.666666666666667,0,0.95,0,1,19,0.974358974358974
1000,20,7,0.333333333333333,0.6,0.0352941176470588,8,18,0.631578947368421,0,0.9,0,2,18,0.947368421052632
1000,20,8,0.4,0.6,0.0470588235294118,9,20,0.6,0.05,0.95,0.00588235294117647,2,20,0.95
1000,20,9,0.35,0.65,0.0411764705882353,8,20,0.65,0.05,0.95,0.00588235294117647,2,20,0.95
