"n","d","i","fdr","tpr","fpr","shd","pred_size","F1_score","fdr_und","tpr_und","fpr_und","shd_und","pred_size.1","F1_score_und"
100,20,0,0.333333333333333,0.6,0.0352941176470588,8,18,0.631578947368421,0,0.9,0,2,18,0.947368421052632
100,20,1,0.266666666666667,0.55,0.0235294117647059,9,15,0.628571428571429,0,0.75,0,5,15,0.857142857142857
100,20,2,0.4,0.45,0.0352941176470588,11,15,0.514285714285714,0,0.75,0,5,15,0.857142857142857
100,20,3,0.3125,0.55,0.0294117647058824,9,16,0.611111111111111,0,0.8,0,4,16,0.888888888888889
100,20,4,0.277777777777778,0.65,0.0294117647058824,8,18,0.684210526315789,0.0555555555555556,0.85,0.00588235294117647,4,18,0.894736842105263
100,20,5,0.235294117647059,0.65,0.0235294117647059,8,17,0.702702702702703,0.0588235294117647,0.8,0.00588235294117647,5,17,0.864864864864865
100,20,6,0.333333333333333,0.5,0.0294117647058824,10,15,0.571428571428572,0,0.75,0,5,15,0.857142857142857
100,20,7,0.3125,0.55,0.0294117647058824,9,16,0.611111111111111,0,0.8,0,4,16,0.888888888888889
100,20,8,0.4375,0.45,0.0411764705882353,11,16,0.5,0,0.8,0,4,16,0.888888888888889
100,20,9,0.294117647058824,0.6,0.0294117647058824,9,17,0.648648648648649,0.0588235294117647,0.8,0.00588235294117647,5,17,0.864864864864865
500,20,0,0.388888888888889,0.55,0.0411764705882353,9,18,0.578947368421053,0,0.9,0,2,18,0.947368421052632
500,20,1,0.277777777777778,0.65,0.0294117647058824,7,18,0.684210526315789,0,0.9,0,2,18,0.947368421052632
500,20,2,0.45,0.55,0.0529411764705882,10,20,0.55,0.05,0.95,0.00588235294117647,2,20,0.95
500,20,3,0.388888888888889,0.55,0.0411764705882353,9,18,0.578947368421053,0,0.9,0,2,18,0.947368421052632
500,20,4,0.421052631578947,0.55,0.0470588235294118,9,19,0.564102564102564,0,0.95,0,1,19,0.974358974358974
500,20,5,0.157894736842105,0.8,0.0176470588235294,4,19,0.82051282051282,0,0.95,0,1,19,0.974358974358974
500,20,6,0.210526315789474,0.75,0.0235294117647059,5,19,0.769230769230769,0,0.95,0,1,19,0.974358974358974
500,20,7,0.411764705882353,0.5,0.0411764705882353,10,17,0.54054054054054,0,0.85,0,3,17,0.918918918918919
500,20,8,0.35,0.65,0.0411764705882353,7,20,0.65,0,1,0,0,20,1
500,20,9,0.368421052631579,0.6,0.0411764705882353,8,19,0.615384615384615,0,0.95,0,1,19,0.974358974358974
1000,20,0,0.4,0.6,0.0470588235294118,9,20,0.6,0.05,0.95,0.00588235294117647,2,20,0.95
1000,20,1,0.35,0.65,0.0411764705882353,7,20,0.65,0,1,0,0,20,1
1000,20,2,0.2,0.8,0.0235294117647059,4,20,0.8,0,1,0,0,20,1
1000,20,3,0.3,0.7,0.0352941176470588,6,20,0.7,0,1,0,0,20,1
1000,20,4,0.35,0.65,0.0411764705882353,7,20,0.65,0,1,0,0,20,1
1000,20,5,0.25,0.75,0.0294117647058824,5,20,0.75,0,1,0,0,20,1
1000,20,6,0.3,0.7,0.0352941176470588,6,20,0.7,0,1,0,0,20,1
1000,20,7,0.368421052631579,0.6,0.0411764705882353,8,19,0.615384615384615,0,0.95,0,1,19,0.974358974358974
1000,20,8,0.318181818181818,0.75,0.0411764705882353,7,22,0.714285714285714,0.0909090909090909,1,0.0117647058823529,2,22,0.952380952380952
1000,20,9,0.285714285714286,0.75,0.0352941176470588,6,21,0.731707317073171,0.0476190476190476,1,0.00588235294117647,1,21,0.975609756097561
