"n","alpha","i","fdr","tpr","fpr","shd","pred_size","F1_score","fdr_und","tpr_und","fpr_und","shd_und","pred_size.1","F1_score_und"
1000,1,0,0.272727272727273,0.8,0.0352941176470588,6,22,0.761904761904762,0.0909090909090909,1,0.0117647058823529,2,22,0.952380952380952
1000,1,1,0.735294117647059,0.45,0.147058823529412,25,34,0.238235294117647,0.411764705882353,1,0.0823529411764706,14,34,0.740740740740741
1000,1,2,0.434782608695652,0.65,0.0588235294117647,10,23,0.604651162790698,0.130434782608696,1,0.0176470588235294,3,23,0.930232558139535
1000,1,3,0.217391304347826,0.9,0.0294117647058824,5,23,0.837209302325581,0.130434782608696,1,0.0176470588235294,3,23,0.930232558139535
1000,1,4,0.363636363636364,0.7,0.0470588235294118,8,22,0.666666666666667,0.0909090909090909,1,0.0117647058823529,2,22,0.952380952380952
1000,1,5,0.272727272727273,0.8,0.0352941176470588,6,22,0.761904761904762,0.0909090909090909,1,0.0117647058823529,2,22,0.952380952380952
1000,1,6,0.272727272727273,0.8,0.0352941176470588,6,22,0.761904761904762,0.0909090909090909,1,0.0117647058823529,2,22,0.952380952380952
1000,1,7,0.272727272727273,0.8,0.0352941176470588,6,22,0.761904761904762,0.0909090909090909,1,0.0117647058823529,2,22,0.952380952380952
1000,1,8,0.304347826086957,0.8,0.0411764705882353,7,23,0.744186046511628,0.130434782608696,1,0.0176470588235294,3,23,0.930232558139535
1000,1,9,0.333333333333333,0.8,0.0470588235294118,8,24,0.727272727272727,0.166666666666667,1,0.0235294117647059,4,24,0.909090909090909
1000,0.5,0,0.409090909090909,0.65,0.0529411764705882,11,22,0.619047619047619,0.181818181818182,0.9,0.0235294117647059,6,22,0.857142857142857
1000,0.5,1,0.4,0.6,0.0470588235294118,9,20,0.6,0.05,0.95,0.00588235294117647,2,20,0.95
1000,0.5,2,0.333333333333333,0.6,0.0352941176470588,8,18,0.631578947368421,0,0.9,0,2,18,0.947368421052632
1000,0.5,3,0.5,0.55,0.0647058823529412,12,22,0.523809523809524,0.136363636363636,0.95,0.0176470588235294,4,22,0.904761904761905
1000,0.5,4,0.5,0.55,0.0647058823529412,11,22,0.523809523809524,0.0909090909090909,1,0.0117647058823529,2,22,0.952380952380952
1000,0.5,5,0.454545454545455,0.6,0.0588235294117647,11,22,0.571428571428571,0.136363636363636,0.95,0.0176470588235294,4,22,0.904761904761905
1000,0.5,6,0.545454545454545,0.5,0.0705882352941176,13,22,0.454545454545455,0.136363636363636,0.95,0.0176470588235294,4,22,0.904761904761905
1000,0.5,7,0.35,0.65,0.0411764705882353,8,20,0.65,0.05,0.95,0.00588235294117647,2,20,0.95
1000,0.5,8,0.454545454545455,0.6,0.0588235294117647,11,22,0.571428571428571,0.136363636363636,0.95,0.0176470588235294,4,22,0.904761904761905
1000,0.5,9,0.428571428571429,0.6,0.0529411764705882,10,21,0.585365853658537,0.0952380952380952,0.95,0.0117647058823529,3,21,0.926829268292683
1000,2,0,0.5,0.5,0.0588235294117647,11,20,0.5,0.05,0.95,0.00588235294117647,2,20,0.95
1000,2,1,0.458333333333333,0.65,0.0647058823529412,12,24,0.590909090909091,0.208333333333333,0.95,0.0294117647058824,6,24,0.863636363636364
1000,2,2,0.380952380952381,0.65,0.0470588235294118,9,21,0.634146341463415,0.0952380952380952,0.95,0.0117647058823529,3,21,0.926829268292683
1000,2,3,0.434782608695652,0.65,0.0588235294117647,11,23,0.604651162790698,0.173913043478261,0.95,0.0235294117647059,5,23,0.883720930232558
1000,2,4,0.476190476190476,0.55,0.0588235294117647,11,21,0.536585365853658,0.0952380952380952,0.95,0.0117647058823529,3,21,0.926829268292683
1000,2,5,0.380952380952381,0.65,0.0470588235294118,9,21,0.634146341463415,0.0952380952380952,0.95,0.0117647058823529,3,21,0.926829268292683
1000,2,6,0.521739130434783,0.55,0.0705882352941176,13,23,0.511627906976744,0.173913043478261,0.95,0.0235294117647059,5,23,0.883720930232558
1000,2,7,0.428571428571429,0.6,0.0529411764705882,10,21,0.585365853658537,0.0952380952380952,0.95,0.0117647058823529,3,21,0.926829268292683
1000,2,8,0.409090909090909,0.65,0.0529411764705882,10,22,0.619047619047619,0.136363636363636,0.95,0.0176470588235294,4,22,0.904761904761905
1000,2,9,0.541666666666667,0.55,0.0764705882352941,14,24,0.5,0.208333333333333,0.95,0.0294117647058824,6,24,0.863636363636364
