"n","alpha","i","fdr","tpr","fpr","shd","pred_size","F1_score","fdr_und","tpr_und","fpr_und","shd_und","pred_size.1","F1_score_und"
1000,0.5,0,0.5,0.45,0.0529411764705882,12,18,0.45,0.0555555555555556,0.85,0.00588235294117647,4,18,0.894736842105263
1000,0.5,1,0.473684210526316,0.5,0.0529411764705882,10,19,0.512820512820513,0,0.95,0,1,19,0.974358974358974
1000,0.5,2,0.333333333333333,0.6,0.0352941176470588,8,18,0.631578947368421,0,0.9,0,2,18,0.947368421052632
1000,0.5,3,0.526315789473684,0.45,0.0588235294117647,11,19,0.426315789473684,0,0.95,0,1,19,0.974358974358974
1000,0.5,4,0.473684210526316,0.5,0.0529411764705882,10,19,0.512820512820513,0,0.95,0,1,19,0.974358974358974
1000,0.5,5,0.526315789473684,0.45,0.0588235294117647,12,19,0.426315789473684,0.0526315789473684,0.9,0.00588235294117647,3,19,0.923076923076923
1000,0.5,6,0.5,0.45,0.0529411764705882,11,18,0.45,0,0.9,0,2,18,0.947368421052632
1000,0.5,7,0.473684210526316,0.5,0.0529411764705882,10,19,0.512820512820513,0,0.95,0,1,19,0.974358974358974
1000,0.5,8,0.473684210526316,0.5,0.0529411764705882,10,19,0.512820512820513,0,0.95,0,1,19,0.974358974358974
1000,0.5,9,0.388888888888889,0.55,0.0411764705882353,9,18,0.578947368421053,0,0.9,0,2,18,0.947368421052632
1000,1,0,0.368421052631579,0.6,0.0411764705882353,9,19,0.615384615384615,0.0526315789473684,0.9,0.00588235294117647,3,19,0.923076923076923
1000,1,1,0.333333333333333,0.6,0.0352941176470588,8,18,0.631578947368421,0,0.9,0,2,18,0.947368421052632
1000,1,2,0.315789473684211,0.65,0.0352941176470588,7,19,0.666666666666667,0,0.95,0,1,19,0.974358974358974
1000,1,3,0.368421052631579,0.6,0.0411764705882353,9,19,0.615384615384615,0.0526315789473684,0.9,0.00588235294117647,3,19,0.923076923076923
1000,1,4,0.35,0.65,0.0411764705882353,8,20,0.65,0.05,0.95,0.00588235294117647,2,20,0.95
1000,1,5,0.35,0.65,0.0411764705882353,8,20,0.65,0.05,0.95,0.00588235294117647,2,20,0.95
1000,1,6,0.315789473684211,0.65,0.0352941176470588,7,19,0.666666666666667,0,0.95,0,1,19,0.974358974358974
1000,1,7,0.333333333333333,0.6,0.0352941176470588,8,18,0.631578947368421,0,0.9,0,2,18,0.947368421052632
1000,1,8,0.4,0.6,0.0470588235294118,9,20,0.6,0.05,0.95,0.00588235294117647,2,20,0.95
1000,1,9,0.35,0.65,0.0411764705882353,8,20,0.65,0.05,0.95,0.00588235294117647,2,20,0.95
1000,2,0,0.4,0.45,0.0352941176470588,11,15,0.514285714285714,0,0.75,0,5,15,0.857142857142857
1000,2,1,0.352941176470588,0.55,0.0352941176470588,9,17,0.594594594594595,0,0.85,0,3,17,0.918918918918919
1000,2,2,0.352941176470588,0.55,0.0352941176470588,9,17,0.594594594594595,0,0.85,0,3,17,0.918918918918919
1000,2,3,0.411764705882353,0.5,0.0411764705882353,11,17,0.54054054054054,0.0588235294117647,0.8,0.00588235294117647,5,17,0.864864864864865
1000,2,4,0.444444444444444,0.5,0.0470588235294118,12,18,0.526315789473684,0.111111111111111,0.8,0.0117647058823529,6,18,0.842105263157895
1000,2,5,0.466666666666667,0.4,0.0411764705882353,12,15,0.426666666666667,0,0.75,0,5,15,0.857142857142857
1000,2,6,0.375,0.5,0.0352941176470588,10,16,0.555555555555556,0,0.8,0,4,16,0.888888888888889
1000,2,7,0.4,0.45,0.0352941176470588,11,15,0.514285714285714,0,0.75,0,5,15,0.857142857142857
1000,2,8,0.375,0.5,0.0352941176470588,10,16,0.555555555555556,0,0.8,0,4,16,0.888888888888889
1000,2,9,0.375,0.5,0.0352941176470588,10,16,0.555555555555556,0,0.8,0,4,16,0.888888888888889
